location,date,variant,num_sequences_total
Egypt,6/28/2021,Lambda,4
Egypt,6/28/2021,Mu,4
Egypt,6/28/2021,Omicron,4
Egypt,6/28/2021,S:677H.Robin1,4
Egypt,6/28/2021,S:677P.Pelican,4
Egypt,6/28/2021,others,4
Egypt,6/28/2021,non_who,4
Egypt,7/12/2021,Alpha,3
Egypt,7/12/2021,B.1.1.277,3
Egypt,7/12/2021,B.1.1.302,3
Egypt,7/12/2021,B.1.1.519,3
Egypt,7/12/2021,B.1.160,3
Egypt,7/12/2021,B.1.177,3
Egypt,7/12/2021,B.1.221,3
Egypt,7/12/2021,B.1.258,3
Egypt,7/12/2021,B.1.367,3
Egypt,7/12/2021,B.1.620,3
Egypt,7/12/2021,Beta,3
Egypt,7/12/2021,Delta,3
Egypt,7/12/2021,Epsilon,3
Egypt,7/12/2021,Eta,3
Egypt,7/12/2021,Gamma,3
Egypt,7/12/2021,Iota,3
Egypt,7/12/2021,Kappa,3
Egypt,7/12/2021,Lambda,3
Egypt,7/12/2021,Mu,3
Egypt,7/12/2021,Omicron,3
Egypt,7/12/2021,S:677H.Robin1,3
Egypt,7/12/2021,S:677P.Pelican,3
Egypt,7/12/2021,others,3
Egypt,7/12/2021,non_who,3
Egypt,7/26/2021,Alpha,1
Egypt,7/26/2021,B.1.1.277,1
Egypt,7/26/2021,B.1.1.302,1
Egypt,7/26/2021,B.1.1.519,1
Egypt,7/26/2021,B.1.160,1
Egypt,7/26/2021,B.1.177,1
Egypt,7/26/2021,B.1.221,1
Egypt,7/26/2021,B.1.258,1
Egypt,7/26/2021,B.1.367,1
Egypt,7/26/2021,B.1.620,1
Egypt,7/26/2021,Beta,1
Egypt,7/26/2021,Delta,1
Egypt,7/26/2021,Epsilon,1
Egypt,7/26/2021,Eta,1
Egypt,7/26/2021,Gamma,1
Egypt,7/26/2021,Iota,1
Egypt,7/26/2021,Kappa,1
Egypt,7/26/2021,Lambda,1
Egypt,7/26/2021,Mu,1
Egypt,7/26/2021,Omicron,1
Egypt,7/26/2021,S:677H.Robin1,1
Egypt,7/26/2021,S:677P.Pelican,1
Egypt,7/26/2021,others,1
Egypt,7/26/2021,non_who,1
Egypt,8/9/2021,Alpha,9
Egypt,8/9/2021,B.1.1.277,9
Egypt,8/9/2021,B.1.1.302,9
Egypt,8/9/2021,B.1.1.519,9
Egypt,8/9/2021,B.1.160,9
Egypt,8/9/2021,B.1.177,9
Egypt,8/9/2021,B.1.221,9
Egypt,8/9/2021,B.1.258,9
Egypt,8/9/2021,B.1.367,9
Egypt,8/9/2021,B.1.620,9
Egypt,8/9/2021,Beta,9
Egypt,8/9/2021,Delta,9
Egypt,8/9/2021,Epsilon,9
Egypt,8/9/2021,Eta,9
Egypt,8/9/2021,Gamma,9
Egypt,8/9/2021,Iota,9
Egypt,8/9/2021,Kappa,9
Egypt,8/9/2021,Lambda,9
Egypt,8/9/2021,Mu,9
Egypt,8/9/2021,Omicron,9
Egypt,8/9/2021,S:677H.Robin1,9
Egypt,8/9/2021,S:677P.Pelican,9
Egypt,8/9/2021,others,9
Egypt,8/9/2021,non_who,9
Egypt,9/6/2021,Alpha,23
Egypt,9/6/2021,B.1.1.277,23
Egypt,9/6/2021,B.1.1.302,23
Egypt,9/6/2021,B.1.1.519,23
Egypt,9/6/2021,B.1.160,23
Egypt,9/6/2021,B.1.177,23
Egypt,9/6/2021,B.1.221,23
Egypt,9/6/2021,B.1.258,23
Egypt,9/6/2021,B.1.367,23
Egypt,9/6/2021,B.1.620,23
Egypt,9/6/2021,Beta,23
Egypt,9/6/2021,Delta,23
Egypt,9/6/2021,Epsilon,23
Egypt,9/6/2021,Eta,23
Egypt,9/6/2021,Gamma,23
Egypt,9/6/2021,Iota,23
Egypt,9/6/2021,Kappa,23
Egypt,9/6/2021,Lambda,23
Egypt,9/6/2021,Mu,23
Egypt,9/6/2021,Omicron,23
Egypt,9/6/2021,S:677H.Robin1,23
Egypt,9/6/2021,S:677P.Pelican,23
Egypt,9/6/2021,others,23
Egypt,9/6/2021,non_who,23
Egypt,9/20/2021,Alpha,5
Egypt,9/20/2021,B.1.1.277,5
Egypt,9/20/2021,B.1.1.302,5
Egypt,9/20/2021,B.1.1.519,5
Egypt,9/20/2021,B.1.160,5
Egypt,9/20/2021,B.1.177,5
Egypt,9/20/2021,B.1.221,5
Egypt,9/20/2021,B.1.258,5
Egypt,9/20/2021,B.1.367,5
Egypt,9/20/2021,B.1.620,5
Egypt,9/20/2021,Beta,5
Egypt,9/20/2021,Delta,5
Egypt,9/20/2021,Epsilon,5
Egypt,9/20/2021,Eta,5
